Date,Open,High,Low,Close,Tick,Volume
2020.03.10 15:00,89889,89909,89551,89551,40570,116832
2020.03.10 15:05,89556,89940,89465,89909,50106,142255
2020.03.10 15:10,89914,90157,89748,90066,44884,127157
2020.03.10 15:15,90071,90222,89950,90187,33474,90570
2020.03.10 15:20,90187,90248,89773,89859,46802,117401
2020.03.10 15:25,89864,90667,89727,90550,53077,152688
2020.03.10 15:30,90550,90732,90399,90672,39484,101232
2020.03.10 15:35,90672,90874,90520,90611,39407,104993
2020.03.10 15:40,90616,91242,90596,91192,55703,143189
2020.03.10 15:45,91192,91732,91096,91570,54202,139862
2020.03.10 15:50,91575,91601,91156,91383,51821,125816
2020.03.10 15:55,91389,91444,91121,91257,42257,104362
2020.03.10 16:00,91257,91979,91257,91888,67265,173420
2020.03.10 16:05,91888,92095,91757,91919,59784,144679
2020.03.10 16:10,91914,92383,91883,92292,57329,141289
2020.03.10 16:15,92292,92873,92146,92833,57843,163636
2020.03.10 16:20,92827,92893,92545,92620,52359,136577
2020.03.10 16:25,92620,93055,92449,92757,50707,155184
2020.03.10 16:30,92752,92964,92358,92625,51643,143366
2020.03.10 16:35,92625,93176,92605,93090,42060,123066
2020.03.10 16:40,93090,93151,92706,92732,47833,129141
2020.03.10 16:45,92732,93120,92726,93060,41270,109161
2020.03.10 16:50,93055,93368,92969,93135,57507,145115
2020.03.10 16:55,93135,93347,92843,93307,48718,124065
2020.03.10 17:00,93307,93317,92923,92984,34122,86510
2020.03.10 17:05,92989,93171,92797,93085,33469,96774
2020.03.10 17:10,93090,93110,92812,92908,17878,56442
2020.03.10 17:15,92908,93065,92822,93034,14887,46623
2020.03.10 17:20,93034,93146,92939,93009,10935,31414
2020.03.10 17:25,93009,93090,92868,92903,9219,25886
2020.03.10 17:30,92908,93196,92903,93171,10503,30248
2020.03.10 17:35,93171,93191,92913,92959,10151,27808
2020.03.10 17:40,92959,93014,92918,92984,5252,14828
2020.03.10 17:45,92984,93196,92868,93166,11052,34370
2020.03.10 17:50,93161,93686,93080,93529,16434,60017
2020.03.11 09:00,90475,90964,90439,90798,19587,57707
2020.03.11 09:05,90798,90858,90444,90656,30304,85001
2020.03.11 09:10,90656,90752,90510,90656,23773,68204
2020.03.11 09:15,90656,90813,90293,90555,50303,131896
2020.03.11 09:20,90555,91065,90475,90656,60461,160510
2020.03.11 09:25,90656,90752,90490,90581,20263,54372
2020.03.11 09:30,90571,90651,90222,90328,45682,120149
2020.03.11 09:35,90333,90434,90182,90384,34973,86790
2020.03.11 09:40,90384,90505,90136,90283,42450,98097
2020.03.11 09:45,90288,90364,90177,90258,23145,55385
2020.03.11 09:50,90258,90273,90081,90152,25536,63480
2020.03.11 09:55,90152,90354,90041,90086,39290,95280
2020.03.11 10:00,90086,90283,90041,90177,31499,81214
2020.03.11 10:05,90172,90394,89813,90202,64192,164594
2020.03.11 10:10,90207,90364,90046,90121,39979,101158
2020.03.11 10:15,90126,90495,90051,90485,52591,144247
2020.03.11 10:20,90485,90757,90465,90591,50813,130887
